"AA9_1"	"AA9_2"	"AA9_3"	"DMSO_1"	"DMSO_2"	"DMSO_3"
"ENSG00000171729"	606	378	647	463	566	610
"ENSG00000204464"	2	4	0	0	0	5
"ENSG00000215720"	41	26	47	44	32	44
"ENSG00000278480"	0	0	0	0	0	0
"ENSG00000142621"	147	112	103	116	90	105
"ENSG00000233485"	0	2	0	0	0	0
"ENSG00000236045"	0	0	8	3	13	1
"ENSG00000228140"	20	12	22	18	18	21
"ENSG00000142634"	4865	3753	5848	5820	6129	6033
"ENSG00000162438"	0	2	2	0	1	4
"ENSG00000142615"	2	0	2	0	0	0
"ENSG00000215704"	10	8	9	10	13	7
"ENSG00000132906"	699	427	618	670	566	645
"ENSG00000116138"	1885	1080	1845	1400	1355	1409
"ENSG00000251866"	0	0	0	0	0	0
"ENSG00000272510"	0	0	0	3	0	0
"ENSG00000116771"	6	2	4	11	1	6
"ENSG00000237301"	8	4	2	14	11	4
"ENSG00000235084"	4349	2951	4758	4167	3973	4145
"ENSG00000252417"	0	0	0	0	0	0
"ENSG00000236500"	0	0	0	0	0	0
"ENSG00000197312"	2987	1941	3041	2367	2258	2349
"ENSG00000215695"	0	0	0	0	0	0
"ENSG00000271742"	2	0	2	0	0	0
"ENSG00000116786"	3277	2127	3185	2523	2178	2467
"ENSG00000264048"	0	0	0	0	0	0
"ENSG00000237938"	52	28	49	49	48	41
"ENSG00000162461"	18	16	21	11	13	13
"ENSG00000224459"	0	0	0	0	0	0
"ENSG00000162460"	0	0	2	0	0	0
"ENSG00000162458"	472	284	454	507	460	365
"ENSG00000224321"	55	24	55	19	24	26
"ENSG00000233954"	6417	4269	6568	5875	5847	6071
"ENSG00000178715"	27702	18192	29847	24062	22171	22730
"ENSG00000179743"	172	120	203	181	224	213
"ENSG00000065526"	8651	5926	9523	8114	7348	7397
"ENSG00000270620"	0	0	0	0	2	0
"ENSG00000116809"	1011	798	1238	1075	1000	1051
"ENSG00000234607"	38	20	59	56	19	31
"ENSG00000231353"	0	0	0	0	0	0
"ENSG00000275503"	0	0	0	0	0	0
"ENSG00000224966"	0	0	0	0	0	0
"ENSG00000183888"	0	0	0	0	0	0
"ENSG00000233078"	0	0	0	0	0	0
"ENSG00000173641"	2	4	6	8	7	8
"ENSG00000186510"	8	2	3	3	15	9
"ENSG00000232456"	2	5	5	6	21	1
"ENSG00000184908"	0	2	0	4	0	2
"ENSG00000185519"	105	64	71	124	142	126
"ENSG00000142627"	10571	7633	11954	11588	10042	10933
"ENSG00000227959"	33	47	58	37	20	46
"ENSG00000224621"	9	11	33	10	18	8
"ENSG00000234166"	0	0	0	0	0	0
"ENSG00000142632"	277	170	275	251	248	229
"ENSG00000237276"	68	41	69	68	68	72
"ENSG00000132881"	165	106	200	152	128	147
"ENSG00000233929"	418	284	446	444	416	428
"ENSG00000037637"	1893	1334	2006	1794	1647	1802
"ENSG00000055070"	7356	4830	8341	7086	6304	6728
"ENSG00000226457"	455	294	459	462	417	415
"ENSG00000187144"	6	5	5	4	3	0
"ENSG00000157191"	2692	1873	2906	2413	2318	2407
"ENSG00000226029"	155	92	182	204	236	219
"ENSG00000080947"	729	502	734	798	700	790
"ENSG00000206652"	57	18	12	0	42	43
"ENSG00000261135"	25	16	22	35	32	38
"ENSG00000224174"	31	21	41	58	39	39
"ENSG00000233421"	147	61	130	122	125	162
"ENSG00000277344"	0	0	0	0	0	1
"ENSG00000268991"	0	0	2	0	5	0
"ENSG00000225710"	0	0	0	0	0	0
"ENSG00000266584"	0	0	0	0	0	0
"ENSG00000219481"	3666	2233	3724	3088	2444	2793
"ENSG00000271732"	2	0	2	10	0	4
"ENSG00000215908"	969	719	1077	826	686	846
"ENSG00000186301"	79	55	126	107	132	138
"ENSG00000207513"	55	13	25	4	36	31
"ENSG00000237847"	0	0	0	4	0	0
"ENSG00000280114"	0	2	0	5	0	4
"ENSG00000264742"	0	0	0	0	0	0
"ENSG00000236698"	2661	1747	2845	2220	2128	2062
"ENSG00000268869"	2	0	4	10	10	7
"ENSG00000279151"	0	0	0	0	0	2
"ENSG00000279132"	0	0	0	6	0	0
"ENSG00000058453"	1569	1132	1872	1682	1436	1606
"ENSG00000207389"	425	153	177	30	323	241
"ENSG00000227684"	0	0	0	2	1	4
"ENSG00000186715"	48	20	30	61	32	60
"ENSG00000223643"	2	0	0	0	0	0
"ENSG00000230239"	0	0	0	0	0	0
"ENSG00000263811"	0	0	0	0	0	0
"ENSG00000228549"	314	205	335	330	250	318
"ENSG00000277234"	0	0	0	0	0	0
