"DMSO_1"	"DMSO_2"	"DMSO_3"	"NCEG2_1"	"NCEG2_2"	"NCEG2_3"
"ENSG00000237700"	0	0	0	0	0	0
"ENSG00000228229"	0	0	0	0	0	0
"ENSG00000204481"	0	0	0	0	0	0
"ENSG00000204480"	0	0	0	0	0	0
"ENSG00000204479"	0	0	0	0	0	0
"ENSG00000204478"	0	0	0	0	0	0
"ENSG00000162494"	0	0	0	0	0	0
"ENSG00000259961"	0	0	0	0	0	0
"ENSG00000215909"	28	31	15	32	30	14
"ENSG00000162493"	0	0	0	2	0	0
"ENSG00000222952"	0	0	0	0	0	0
"ENSG00000266358"	0	0	0	0	0	0
"ENSG00000237445"	0	0	0	0	0	0
"ENSG00000253085"	0	0	0	0	0	0
"ENSG00000116731"	2216	2093	2130	1740	1973	2007
"ENSG00000252151"	0	0	0	0	0	0
"ENSG00000231606"	0	0	0	0	0	0
"ENSG00000234593"	0	0	0	0	0	0
"ENSG00000189337"	0	0	0	0	0	2
"ENSG00000235829"	3	6	2	4	4	2
"ENSG00000175147"	6	2	1	5	6	7
"ENSG00000171729"	463	566	610	567	689	654
"ENSG00000204464"	0	0	5	3	1	2
"ENSG00000215720"	44	32	44	24	42	33
"ENSG00000278480"	0	0	0	0	0	0
"ENSG00000142621"	116	90	105	60	76	87
"ENSG00000233485"	0	0	0	0	0	0
"ENSG00000236045"	3	13	1	1	5	4
"ENSG00000228140"	18	18	21	12	32	20
"ENSG00000142634"	5820	6129	6033	7036	8856	8541
"ENSG00000162438"	0	1	4	0	2	3
"ENSG00000142615"	0	0	0	2	0	5
"ENSG00000215704"	10	13	7	0	11	2
"ENSG00000132906"	670	566	645	523	630	671
"ENSG00000116138"	1400	1355	1409	1039	1350	1200
"ENSG00000251866"	0	0	0	0	2	0
"ENSG00000272510"	3	0	0	4	0	4
"ENSG00000116771"	11	1	6	1	14	2
"ENSG00000237301"	14	11	4	8	2	8
"ENSG00000235084"	4167	3973	4145	3642	4844	4190
"ENSG00000252417"	0	0	0	0	0	0
"ENSG00000236500"	0	0	0	0	0	0
"ENSG00000197312"	2367	2258	2349	1858	2474	2295
"ENSG00000215695"	0	0	0	0	0	0
"ENSG00000271742"	0	0	0	0	0	0
"ENSG00000116786"	2523	2178	2467	1767	2372	2124
"ENSG00000264048"	0	0	0	0	0	0
"ENSG00000237938"	49	48	41	44	28	46
"ENSG00000162461"	11	13	13	6	2	3
"ENSG00000224459"	0	0	0	2	0	0
"ENSG00000162460"	0	0	0	0	0	0
"ENSG00000162458"	507	460	365	355	401	471
"ENSG00000224321"	19	24	26	36	43	41
"ENSG00000233954"	5875	5847	6071	5122	6521	5772
"ENSG00000178715"	24062	22171	22730	18999	23476	20499
"ENSG00000179743"	181	224	213	180	223	235
"ENSG00000065526"	8114	7348	7397	5962	7317	7244
"ENSG00000270620"	0	2	0	0	0	0
"ENSG00000116809"	1075	1000	1051	971	1119	1100
"ENSG00000234607"	56	19	31	15	35	28
